Index,N.Repetition,N.Processes,N.Threads,N.Characters,Time to read text,Time to get CharFreq,Time to receive and merge CharFreq,Time to sort CharFreq,Time to create encoding dictionary,Time to send encoding dictionary,Time to encode text,Time to receive encoded text,Time to write header to file,Time to write tree to file,Time to write encoded text to file,Time to write dimensions array to file,
1,1,2,2,271604,0.004314184189,0.00909113884,0.0002629756927,0.000116109848,0.0001745223999,6.079673767e-05,0.0522415638,0.001684188843,0.006861925125,0.005137205124,0.007779359818,0.005191087723,
2,2,2,2,271604,0.0041680336,0.009024143219,0.0003697872162,0.0001106262207,0.0002000331879,6.246566772e-05,0.05297017097,0.001169681549,0.006056070328,0.004460334778,0.008462190628,0.006863594055,
3,3,2,2,271604,0.003917694092,0.009419679642,0.0002527236938,0.0001087188721,0.0001919269562,6.508827209e-05,0.05249738693,0.001005172729,0.005981683731,0.005645513535,0.008252859116,0.004889249802,
4,4,2,2,271604,0.00491976738,0.009333133698,0.0003669261932,0.0001118183136,0.0001864433289,5.912780762e-05,0.05254340172,0.001075267792,0.00616312027,0.004609584808,0.00771689415,0.004640340805,
5,5,2,2,271604,0.005936145782,0.009210586548,0.0003046989441,0.000138759613,0.0001814365387,6.222724915e-05,0.05229043961,0.001664161682,0.006326913834,0.004926919937,0.008308172226,0.005079746246,
6,6,2,2,271604,0.005759477615,0.008813142776,0.0002727508545,0.0001254081726,0.0001752376556,6.055831909e-05,0.05222129822,0.001561641693,0.006112575531,0.004935264587,0.008945703506,0.005176544189,
7,7,2,2,271604,0.00443816185,0.009292602539,0.003589630127,0.0001218318939,0.0001931190491,5.769729614e-05,0.05272483826,0.001099824905,0.008029222488,0.004620552063,0.008340358734,0.005705833435,
8,8,2,2,271604,0.004431724548,0.009136199951,0.0003073215485,0.0001199245453,0.0001924037933,5.626678467e-05,0.05230712891,0.00136256218,0.007895708084,0.005411863327,0.008633136749,0.004820108414,
9,9,2,2,271604,0.004308700562,0.008665561676,0.001833200455,0.0001211166382,0.0001728534698,5.483627319e-05,0.05221271515,0.001549959183,0.006118059158,0.004732608795,0.008161783218,0.004818677902,
10,10,2,2,271604,0.003574609756,0.008702754974,0.001495599747,0.0001168251038,0.0001797676086,5.555152893e-05,0.05224108696,0.001633644104,0.006666660309,0.004856109619,0.008207082748,0.004841089249,
11,1,2,3,271604,0.003538608551,0.005869150162,0.002011060715,0.000128030777,0.0001747608185,5.745887756e-05,0.05223321915,0.001483201981,0.006171941757,0.004668951035,0.008648395538,0.004999399185,
12,2,2,3,271604,0.004385471344,0.006215810776,0.0005631446838,0.0001213550568,0.0002105236053,5.793571472e-05,0.0526804924,0.00120306015,0.00611615181,0.004837989807,0.008161067963,0.004795789719,
13,3,2,3,271604,0.003731250763,0.00647187233,0.0002403259277,0.0001275539398,0.0002059936523,5.865097046e-05,0.05260539055,0.001246452332,0.007179498672,0.004614591599,0.007715702057,0.004756212234,
14,4,2,3,271604,0.004081487656,0.006685018539,0.02744889259,0.0003023147583,0.0001957416534,5.674362183e-05,0.05265879631,0.001029968262,0.006485939026,0.004946470261,0.008137702942,0.005051851273,
15,5,2,3,271604,0.004108667374,0.006474733353,0.08527350426,0.0003008842468,0.0001883506775,5.412101746e-05,0.05224347115,0.001468420029,0.006909608841,0.006813764572,0.008284330368,0.005181312561,
16,6,2,3,271604,0.0037753582,0.006839036942,0.001177787781,0.0001447200775,0.0001866817474,5.745887756e-05,0.05230021477,0.001422166824,0.006433963776,0.008448600769,0.008360147476,0.004781246185,
17,7,2,3,271604,0.004198551178,0.006608247757,0.0004320144653,0.0001358985901,0.0001800060272,5.578994751e-05,0.05260109901,0.001307249069,0.006331682205,0.005360603333,0.008132696152,0.005128860474,
18,8,2,3,271604,0.004707098007,0.006136655807,0.0007514953613,0.000155210495,0.0001900196075,5.81741333e-05,0.05228829384,0.001498222351,0.006113052368,0.004979848862,0.008481025696,0.006005525589,
19,9,2,3,271604,0.00451374054,0.005959033966,0.0001895427704,0.0001332759857,0.0001888275146,5.340576172e-05,0.05222535133,0.0016746521,0.006463527679,0.004940032959,0.008182764053,0.005409479141,
20,10,2,3,271604,0.004296064377,0.006194353104,0.07480359077,0.0003159046173,0.0001952648163,6.96182251e-05,0.05256795883,0.001163482666,0.005771636963,0.004512786865,0.008242607117,0.005023241043,
21,1,2,4,271604,0.004219055176,0.005009412766,0.0184636116,0.0003089904785,0.0001895427704,5.841255188e-05,0.05264592171,0.001149654388,0.006030321121,0.00433588028,0.008258581161,0.004849910736,
