Index,N.Processes,N.Threads,N.Characters,Read File,Parse Header,Parse Huffman Tree,Parse Block Lengths,Calculate Block Range,Decode Single Text,Merge Decoded Texts,
1019,16,15,0,0.005623102188,5.24520874e-05,3.814697266e-05,7.41481781e-05,6.914138794e-06,0.002966165543,0.2268927097,
1020,16,16,0,0.37550354,0.0001282691956,7.462501526e-05,5.93662262e-05,6.198883057e-06,0.002770423889,0.1486485004,
1021,1,1,0,0.002530097961,9.489059448e-05,6.055831909e-05,0.0001723766327,1.549720764e-05,0.0397105217,0.003375053406,
1022,1,2,0,0.002912998199,6.318092346e-05,2.264976501e-05,4.863739014e-05,4.529953003e-06,0.03953623772,0.00297999382,
1023,1,3,0,0.04311990738,0.0001082420349,6.651878357e-05,0.0001945495605,1.549720764e-05,0.0392639637,0.07113313675,
1024,1,4,0,0.0027987957,7.700920105e-05,2.312660217e-05,9.751319885e-05,6.437301636e-06,0.03938698769,0.005848407745,
1025,1,5,0,0.002542257309,9.775161743e-05,6.365776062e-05,0.000182390213,2.598762512e-05,0.03923416138,0.003835201263,
1026,1,6,0,0.03374671936,0.0001034736633,8.726119995e-05,0.0001409053802,6.914138794e-06,0.03926253319,0.06314849854,
1027,1,7,0,0.002540588379,8.893013e-05,6.484985352e-05,0.000191450119,6.437301636e-06,0.03934073448,0.004207849503,
1028,1,8,0,0.002788066864,8.988380432e-05,3.933906555e-05,9.608268738e-05,6.914138794e-06,0.03931307793,0.003767251968,
1029,1,9,0,0.002111434937,8.368492126e-05,6.413459778e-05,0.0001735687256,1.645088196e-05,0.03948330879,0.003067493439,
1030,1,10,0,0.0386557579,0.0001065731049,7.367134094e-05,0.0001270771027,7.390975952e-06,0.03934383392,0.1052536964,
1031,1,11,0,0.009696722031,0.0001001358032,2.360343933e-05,0.0001163482666,7.390975952e-06,0.03918576241,0.002907276154,
1032,1,12,0,0.002596855164,8.678436279e-05,6.27040863e-05,0.0001375675201,6.198883057e-06,0.03902506828,0.004068374634,
1033,1,13,0,0.001858234406,8.55922699e-05,6.341934204e-05,0.0001752376556,1.525878906e-05,0.03954076767,0.002797842026,
1034,1,14,0,0.002326488495,8.630752563e-05,6.866455078e-05,0.0001752376556,1.502037048e-05,0.03954648972,0.004156589508,
1035,1,15,0,0.005923509598,0.0001044273376,6.222724915e-05,0.0002210140228,1.71661377e-05,0.03952097893,0.003679037094,
1036,1,16,0,0.002942085266,7.939338684e-05,6.079673767e-05,0.0001358985901,1.59740448e-05,0.03939461708,0.00309920311,
1037,2,1,0,0.002860307693,9.655952454e-05,6.175041199e-05,0.0001392364502,1.645088196e-05,0.02085232735,0.1544833183,
1038,2,2,0,0.03221654892,0.0001277923584,6.484985352e-05,0.0007684230804,6.437301636e-06,0.02046298981,0.1639523506,
1039,2,3,0,0.004441738129,0.0001010894775,6.651878357e-05,0.0001084804535,8.106231689e-06,0.02054834366,0.1047930717,
1040,2,4,0,0.003268718719,9.083747864e-05,2.145767212e-05,0.0001211166382,8.583068848e-06,0.02052879333,0.2064311504,
1041,2,5,0,0.02438020706,0.0001058578491,6.198883057e-05,0.0001580715179,5.960464478e-06,0.02046918869,0.2493464947,
1042,2,6,0,0.002375602722,8.106231689e-05,6.484985352e-05,0.0001723766327,1.573562622e-05,0.02053904533,0.2681119442,
1043,2,7,0,0.002587795258,9.799003601e-05,6.151199341e-05,0.0001866817474,1.645088196e-05,0.02078390121,0.1019647121,
1044,2,8,0,0.002416372299,8.153915405e-05,5.912780762e-05,0.0001721382141,1.621246338e-05,0.02075719833,0.113181591,
1045,2,9,0,0.03353738785,0.000102519989,6.127357483e-05,0.0001406669617,6.437301636e-06,0.02053689957,0.2517824173,
1046,2,10,0,0.002545118332,9.01222229e-05,6.008148193e-05,0.0001256465912,1.502037048e-05,0.02052092552,0.1035141945,
1047,2,11,0,0.002573013306,6.628036499e-05,2.145767212e-05,9.727478027e-05,7.390975952e-06,0.02036356926,0.08613967896,
1048,2,12,0,0.001958608627,8.583068848e-05,6.103515625e-05,0.0001726150513,1.573562622e-05,0.02089929581,0.291762352,
1049,2,13,0,0.002227306366,8.487701416e-05,6.175041199e-05,0.00017619133,2.694129944e-05,0.02068138123,0.1123361588,
1050,2,14,0,0.002486944199,8.344650269e-05,5.984306335e-05,0.0001726150513,1.573562622e-05,0.02050471306,0.1572778225,
1051,2,15,0,0.002186775208,9.417533875e-05,6.151199341e-05,0.0001709461212,1.525878906e-05,0.02064561844,0.1962654591,
1052,2,16,0,0.009746313095,0.0001151561737,6.461143494e-05,0.0001876354218,1.59740448e-05,0.020591259,0.09898209572,
1053,3,1,0,0.002023935318,8.463859558e-05,6.031990051e-05,0.0001246929169,1.47819519e-05,0.01436805725,0.2273154259,
1054,3,2,0,0.002450227737,8.893013e-05,6.27040863e-05,0.0001718997955,1.47819519e-05,0.01409816742,0.1459403038,
1055,3,3,0,0.00236749649,8.606910706e-05,6.079673767e-05,0.0001256465912,1.502037048e-05,0.01462984085,0.1760399342,
1056,3,4,0,0.001923322678,9.226799011e-05,6.055831909e-05,0.000137090683,1.645088196e-05,0.01421570778,0.2479996681,
1057,3,5,0,0.002470016479,9.58442688e-05,6.175041199e-05,0.0001277923584,1.525878906e-05,0.01447272301,0.1149640083,
1058,3,6,0,0.01816964149,4.863739014e-05,4.291534424e-05,6.675720215e-05,6.198883057e-06,0.01408410072,0.6272187233,
1059,3,7,0,0.003170013428,4.33921814e-05,2.288818359e-05,8.583068848e-05,6.914138794e-06,0.01401662827,0.1653544903,
1060,3,8,0,0.002658605576,8.940696716e-05,6.818771362e-05,0.0001344680786,5.960464478e-06,0.01410579681,0.2883477211,
1061,3,9,0,0.002503156662,8.4400177e-05,6.079673767e-05,0.0001769065857,1.525878906e-05,0.01465940475,0.1341779232,
1062,3,10,0,0.002743721008,8.535385132e-05,6.008148193e-05,0.0001723766327,1.502037048e-05,0.01439762115,0.1928038597,
1063,3,11,0,0.04076910019,0.0001044273376,6.84261322e-05,0.0001389980316,1.645088196e-05,0.01437282562,0.4102528095,
1064,3,12,0,0.002498865128,8.368492126e-05,6.008148193e-05,0.0001826286316,1.621246338e-05,0.01443529129,0.2832798958,
1065,3,13,0,0.004904270172,0.0001134872437,6.604194641e-05,0.0001866817474,1.549720764e-05,0.01434135437,0.1002664566,
1066,3,14,0,0.002335071564,8.964538574e-05,6.103515625e-05,0.0001244544983,1.549720764e-05,0.0145983696,0.3094341755,
1067,3,15,0,0.002511262894,8.201599121e-05,6.031990051e-05,0.0001792907715,1.573562622e-05,0.01442599297,0.1299901009,
1068,3,16,0,0.002091646194,6.937980652e-05,2.288818359e-05,5.602836609e-05,5.722045898e-06,0.01411485672,0.2887661457,
1069,4,1,0,0.003618240356,8.368492126e-05,6.079673767e-05,0.0002000331879,5.960464478e-06,0.01054811478,0.04940581322,
1070,4,2,0,0.003737211227,8.678436279e-05,5.865097046e-05,0.0001707077026,1.525878906e-05,0.01100850105,0.3145184517,
1071,4,3,0,0.08249235153,0.0001096725464,6.198883057e-05,0.0001518726349,5.960464478e-06,0.01063942909,0.2167642117,
1072,4,4,0,0.0779747963,0.0001006126404,4.887580872e-05,0.000111579895,7.629394531e-06,0.01055383682,0.1922907829,
1073,4,5,0,0.001931905746,4.434585571e-05,2.16960907e-05,7.271766663e-05,5.722045898e-06,0.010617733,0.1685438156,
1074,4,6,0,0.003317117691,8.583068848e-05,6.127357483e-05,0.0001831054688,1.621246338e-05,0.01063251495,0.2091164589,
1075,4,7,0,0.003885269165,8.535385132e-05,6.103515625e-05,0.0001802444458,1.645088196e-05,0.01091074944,0.1635677814,
1076,4,8,0,0.007595300674,0.0001032352448,6.675720215e-05,0.0001866817474,1.59740448e-05,0.01102209091,0.06289243698,
1077,4,9,0,0.002471923828,9.894371033e-05,6.27040863e-05,0.0001170635223,5.483627319e-06,0.0105612278,0.233992815,
1078,4,10,0,0.003029823303,8.988380432e-05,6.651878357e-05,0.000185251236,1.549720764e-05,0.01058363914,0.1395716667,
1079,4,11,0,0.005279779434,0.0001130104065,6.151199341e-05,0.0001220703125,5.483627319e-06,0.01060557365,0.2187278271,
1080,4,12,0,0.06998229027,0.0001022815704,6.079673767e-05,0.000146150589,1.573562622e-05,0.0111477375,0.1784508228,
1081,4,13,0,0.003470420837,8.368492126e-05,6.318092346e-05,0.0001313686371,5.722045898e-06,0.01057744026,0.317961216,
1082,4,14,0,0.1462976933,0.0001058578491,8.55922699e-05,0.0001361370087,6.437301636e-06,0.01054024696,0.3389585018,
1083,4,15,0,0.002348184586,8.130073547e-05,2.05039978e-05,9.346008301e-05,7.86781311e-06,0.01055169106,0.2415721416,
1084,4,16,0,0.002880573273,8.487701416e-05,6.651878357e-05,0.0001718997955,1.549720764e-05,0.01076960564,0.235861063,
